id;code;date;details;status;payment_method;payment_date;payment_amount
1;notwithstanding;2023-12-16T08:58:46;appetizer whoever till;CANCELLED;PAYPAL;2023-12-16T10:11:59;9093.04
2;pupil;2023-12-15T15:58:05;reuse droopy police;ISSUED;PAYPAL;2023-12-15T16:07:00;112.55
3;unlike gator;2023-12-16T08:23:43;enfranchise;ISSUED;PAYPAL;2023-12-15T18:48:11;30370.2
4;eyeliner gently;2023-12-16T00:56:58;cloak;CANCELLED;PAYPAL;2023-12-15T18:42:03;4830.26
5;populist contextualize;2023-12-16T00:20:47;hourly wetly;ISSUED;PAYPAL;2023-12-16T05:08:21;9009.78
6;unfortunately indeed though;2023-12-15T17:02:29;oof impressive;ISSUED;CASH_ON_DELIVERY;2023-12-16T05:21:15;23509.59
7;minus ketch yieldingly;2023-12-15T18:35:14;continually which;PAID;PAYPAL;2023-12-16T00:27:08;24573.18
8;including whoa hastily;2023-12-15T13:19:07;whoever;PAID;CASH_ON_DELIVERY;2023-12-16T06:06:48;18612.73
9;wow boo;2023-12-16T03:44:30;corridor;PAID;CASH_ON_DELIVERY;2023-12-16T10:58:17;5617.92
10;vision;2023-12-16T00:55:47;what birth gosh;ISSUED;CASH_ON_DELIVERY;2023-12-16T07:00:38;20623.81
