id;tracking_code;date;details;invoice_id
1;overconfidently;2023-12-15T19:18:59;dehumanise because;1
2;subdued bah;2023-12-15T20:11:22;where soup;2
3;bitter lipid;2023-12-15T14:11:38;from;3
4;hm yahoo;2023-12-16T01:56:29;whenever drat excepting;4
5;excitedly;2023-12-15T13:51:04;afterwards notwithstanding supposing;5
6;reluctantly;2023-12-16T00:59:03;commonly airfare;6
7;adorable terrific synthesis;2023-12-15T16:30:34;pheromone;7
8;oof precious;2023-12-15T21:51:17;interface;8
9;considering;2023-12-15T12:26:15;ugh knowingly;9
10;yellow excepting;2023-12-16T05:42:50;battleship under spat;10
