id;placed_date;status;code;invoice_id;customer
1;2023-12-16T03:38:42;COMPLETED;ill-informed;10075;rehash rare sweltering
2;2023-12-16T02:18:21;CANCELLED;since failing;3753;meanwhile red queasily
3;2023-12-15T19:06:11;COMPLETED;afore;11738;bleakly inject
4;2023-12-15T20:49:22;CANCELLED;ack healthy;32353;liberalise
5;2023-12-16T04:21:00;CANCELLED;indolent concerned step-aunt;23346;grotesque burden hmph
6;2023-12-15T21:09:01;CANCELLED;whose command;14202;ack
7;2023-12-15T22:25:56;PENDING;hate abnormally excellence;9214;ew yippee
8;2023-12-15T23:07:21;CANCELLED;greedily uh-huh upward;15800;although gracefully hot
9;2023-12-16T03:32:00;COMPLETED;blanket even unless;23606;safe
10;2023-12-16T06:22:29;COMPLETED;ensconce pro;10845;savage wholly
